created_at,is_verified,text,username
1490223703,False,Nice,isabella.vaal_style
1490224187,False,@wy.k 平時會用d色黎😍,jenicnw
1490224750,False,It would be so cool if @lorealmakeup can feature @chomismaterialgirl in this project,queenpimmy
1490216267,False,Perfect 💜,kivanc.tatlitugfan
1490216390,False,❤️,joliedamla
1490216530,False,💖💖💖,k_cather1ne
1490216587,False,@natashavishwani,juhiekukreja
1490216694,False,@lorealmakeup when will we get this in the United States please?,katymduncan
1490217030,False,Priceeeee pls,_pathani
1490217626,False,great 😍😍😍😍😍,pretty_rosa_20
1490217782,False,👌,urbandesign.ms
1490217825,False,@_lucious_k 😍😳 haben 😬,nblondina
1490217864,False,@hawraa_dei خرب خرب خرب 😭😭😭😭😭😭😭,leenahussein
1490217980,False,lorealmakeup Are you planning to travel to Rome?,mokhouse
1490218259,False,Love 💗,annel_yse
1490218447,False,❤❤😍❤,fatoudw
1490218459,False,😻😻😻😻,qingsstyle
1490218510,False,🌟,jacknicholsonfansclub1
1490218616,False,@aidadoming que boonito,judiiith96
1490219111,False,@essratan deze kleur ga k kopen @dilefruzness,vaveyla1994
1490214568,False,Kac hayvani öldürdünüz bu boya icin,said_m1999
1490214648,False,😍😍😍,cerenndumannn
1490214714,False,This colour 😍😍,lolitamarceau
1490214953,False,@harshitamuktibodh  my color,gul_tabassum_javed
1490215036,False,la couleur préférée de Fahriye @evcenf 😍😍😍,keny_utu
1490215071,False,Adorbzzz @aaslipicevic,enislipicevic
1490215171,False,Color👌,david_shahnawaz
1490215288,False,Perfect for every day,angela.salomon1
1490215299,False,I need this shade in my life 😍,vaniaminkova
1490215469,False,✔️,some.personal.insights
1490215484,False,Oyes 😍😍💋 @kajsastinalindell,malinlinneasandberg
1490215507,False,@backseatdiaries12 der wär was für uns,lm_ny
1490215607,False,❤😍,vitalba07
1490215612,False,Nice,john_nissen_mannequins
1490215622,False,@malinlinneasandberg ge mig 😍👌🏼,kajsastinalindell
1490215705,False,Lovely shade,asmiliciouss
1490215828,False,Kaç tl niye yazmiyoaunuz satmiyomisunuz @lorealmakeup,hazalatbk_melismbb
1490215930,False,Awesome 🤗,timonel_m
1490216226,False,💓💓💓,makeup_byrxqueen
1490213579,False,Mesmerising 😍😍,ai.asma
1490213630,False,Woww wow! 😍😍,lailaa_khann
1490213711,False,this is 103 omgggg!,_gannaamounir
1490213715,False,Love this color 😍😍,bylorraineposh
1490213717,False,i like itttt @naadinekhaled,_gannaamounir
1490213729,False,i like itttt @naadinekhaled,_gannaamounir
1490213729,False,Wow 💕,thecocosky
1490213862,False,Love it😍,_allaboutkathi_
1490213980,False,J'adore la couleur !,juliez95
1490213992,False,OMG I love this colour,b.opbopbo.p
1490214013,False,❤ ❤ ❤,hannah_reich15
1490214109,False,@esykhalil,ulyakhalil
1490214167,False,😍😍😍,tamishey
1490214181,False,I'm really liking that matte finish,claudianutgrass
1490214206,False,@matyldemazz😍😍,margomazzolo
1490214356,False,@jenicnw,wy.k
1490214425,False,I like it 👌,reine_paula
1490214530,False,Barbbb 😍 It's perfect 💜,palvinxpictures
1490214556,False,J'adore la couleur ❤,blog.mode.passion
1490212803,False,💟💟💟,martinamencucci_97
1490212809,False,Beautiful,myshoppingstoryxoxo
1490212832,False,@marie.busskamp,_leabusskamp
1490212870,False,@maedinella 💄💄,90natii
1490213030,False,@leenahussein,hawraa_dei
